Name,Gender,Relationship,Age,City,Sector,Income,Needs,Expenses,Saving
Rajesh Nath Pandey,Male,Single,36-50,Jaipur,Government,630914,315457,189274,126183
Ananya Bala Kapoor,Female,Single,51-60,Jaipur,Government,391272,195636,117381,78255
Vandana Shree Duggal,Female,Unmarried,36-50,Indore,Private,801079,400539,240323,160217
Priya Kumari Duggal,Female,Single,51-60,Dehradun,Government,507880,253940,152364,101576
Hemant Kumar Verma,Male,Unmarried,36-50,Aligarh,Public,652918,326459,195875,130584
Pankhuri Shree Negi,Female,Divorced,26-35,Bhopal,Business,409058,204529,122717,81812
Sumit Mohan Bansal,Male,Unmarried,26-35,Kanpur,Business,1203276,601638,360982,240656
Pankhuri Kumari Malhotra,Female,Divorced,36-50,Lucknow,Private,513847,256923,154154,102770
Aadarsh Nath Chauhan,Male,Single,36-50,Prayagraj,Private,957361,478680,287208,191473
Rakesh Dev Negi,Male,Single,21-25,Aligarh,Government,1229159,614579,368747,245833
Meenal Bala Singh,Female,Unmarried,36-50,Bhopal,Public,424335,212167,127300,84868
Mahesh Mohan Tripathi,Male,Divorced,26-35,Noida,Public,558072,279036,167421,111615
Sneha Shree Agarwal,Female,Unmarried,51-60,Ranchi,Private,375164,187582,112549,75033
Meenal Kumari Singh,Female,Unmarried,21-25,Noida,Business,467630,233815,140289,93526
Vikas Nath Chhabra,Male,Divorced,51-60,Lucknow,Government,845862,422931,253758,169173
Harsh Kumar Duggal,Male,Unmarried,51-60,Aligarh,Government,1105794,552897,331738,221159
Rahul Mohan Gupta,Male,Married,51-60,Agra,Business,370922,185461,111276,74185
Varun Dev Bansal,Male,Single,21-25,Agra,Private,412967,206483,123890,82594
Anurag Dev Aggarwal,Male,Married,21-25,Delhi,Public,636390,318195,190917,127278
Anjali Shree Suri,Female,Divorced,21-25,Prayagraj,Government,803378,401689,241013,160676
Swati Rani Mehra,Female,Unmarried,26-35,Ghaziabad,Government,1296803,648401,389040,259362
Madhu Devi Chhabra,Female,Divorced,21-25,Meerut,Public,778225,389112,233467,155646
Kritika Kumari Jain,Female,Divorced,51-60,Lucknow,Private,508482,254241,152544,101697
Rahul Nath Duggal,Male,Single,36-50,Chandigarh,Business,601554,300777,180466,120311
Aadarsh Kumar Mathur,Male,Single,51-60,Gurgaon,Private,1204616,602308,361384,240924
Amit Narayan Arora,Male,Single,51-60,Delhi,Public,1497472,748736,449241,299495
Radhika Shree Mittal,Female,Married,26-35,Patna,Government,888622,444311,266586,177725
Dinesh Mohan Thakur,Male,Unmarried,36-50,Dehradun,Private,653457,326728,196037,130692
Ravi Chandra Sharma,Male,Married,26-35,Ghaziabad,Public,735177,518399,190599,26179
Saurabh Chandra Luthra,Male,Unmarried,36-50,Kanpur,Private,382289,191144,114686,76459
Ajay Prasad Arora,Male,Single,26-35,Delhi,Business,915975,457987,274792,183196
Aditi Kumari Pandey,Female,Divorced,51-60,Kanpur,Public,989822,494911,296946,197965
Kapil Chandra Mittal,Male,Unmarried,26-35,Patna,Business,397403,198701,119220,79482
Pranav Kumar Rawat,Male,Single,26-35,Lucknow,Public,1012293,506146,303687,202460
Dinesh Lal Saxena,Male,Single,51-60,Dehradun,Government,1207683,603841,362304,241538
Madhu Rani Sharma,Female,Married,36-50,Indore,Business,630885,315442,189265,126178
Sumit Dev Jain,Male,Divorced,21-25,Lucknow,Government,584769,292384,175430,116955
Ritesh Chandra Bansal,Male,Single,36-50,Aligarh,Government,572928,286464,171878,114586
Kusum Devi Srivastava,Female,Divorced,51-60,Dehradun,Public,708045,354022,212413,141610
Abhishek Lal Luthra,Male,Divorced,51-60,Meerut,Public,885401,442700,265620,177081
Sumit Chandra Saxena,Male,Unmarried,51-60,Bhopal,Government,616132,308066,184839,123227
Anurag Chandra Bhardwaj,Male,Married,36-50,Ranchi,Business,370282,185141,111084,74057
Sumit Kumar Gupta,Male,Unmarried,51-60,Aligarh,Government,399567,199783,119870,79914
Rashmi Bala Bansal,Female,Single,51-60,Dehradun,Private,579712,289856,173913,115943
Vikas Dev Agarwal,Male,Divorced,36-50,Noida,Government,529839,264919,158951,105969
Ravi Nath Verma,Male,Unmarried,51-60,Lucknow,Private,1196544,598272,358963,239309
Shreya Shree Rawat,Female,Unmarried,36-50,Aligarh,Business,1033745,516872,310123,206750
Anurag Lal Goel,Male,Divorced,36-50,Ranchi,Government,1419257,709628,425777,283852
Shruti Rani Bajaj,Female,Unmarried,21-25,Varanasi,Public,1407320,703660,422196,281464
Karan Prasad Gupta,Male,Married,51-60,Kanpur,Private,1018071,509035,305421,203615
Ravi Kumar Sharma,Male,Unmarried,21-25,Kanpur,Private,370401,253097,88770,28534
Kritika Rani Joshi,Female,Unmarried,21-25,Indore,Business,1381102,690551,414330,276221
Neha Bala Verma,Female,Unmarried,26-35,Delhi,Government,353124,176562,105937,70625
Rakesh Chandra Seth,Male,Single,51-60,Varanasi,Business,393245,196622,117973,78650
Shubham Nath Mathur,Male,Divorced,26-35,Gurgaon,Government,1195794,597897,358738,239159
Deepika Bala Bajaj,Female,Single,21-25,Jaipur,Government,357043,178521,107112,71410
Sneha Kumari Thakur,Female,Single,21-25,Ghaziabad,Public,1201850,600925,360555,240370
Megha Bala Aggarwal,Female,Unmarried,26-35,Agra,Private,669329,334664,200798,133867
Naveen Lal Tripathi,Male,Divorced,21-25,Bhopal,Government,1307866,653933,392359,261574
Ajeet Nath Saxena,Male,Married,36-50,Aligarh,Government,1486188,743094,445856,297238
Aanchal Bala Sharma,Female,Divorced,51-60,Jaipur,Public,1498428,749214,449528,299686
Jyoti Bala Bajaj,Female,Single,21-25,Delhi,Business,863684,431842,259105,172737
Meenal Shree Bansal,Female,Unmarried,51-60,Gurgaon,Government,809523,404761,242856,161906
Gaurav Mohan Negi,Male,Divorced,21-25,Gurgaon,Government,862373,431186,258711,172476
Rohit Kumar Mittal,Male,Single,36-50,Jaipur,Business,1017608,508804,305282,203522
Sneha Rani Saxena,Female,Unmarried,36-50,Lucknow,Government,1401194,700597,420358,280239
Karan Prasad Seth,Male,Married,21-25,Ghaziabad,Business,746597,373298,223979,149320
Vivek Nath Agarwal,Male,Married,26-35,Jaipur,Public,776672,388336,233001,155335
Kusum Shree Aggarwal,Female,Single,51-60,Chandigarh,Public,1212172,606086,363651,242435
Kritika Bala Singh,Female,Married,36-50,Bhopal,Public,875090,437545,262527,175018
Pooja Bala Mittal,Female,Unmarried,21-25,Gurgaon,Government,1276137,638068,382841,255228
Alok Chandra Malhotra,Male,Married,21-25,Lucknow,Government,639298,319649,191789,127860
Saurabh Narayan Chopra,Male,Unmarried,26-35,Varanasi,Public,1413246,706623,423973,282650
Karan Mohan Bansal,Male,Single,26-35,Bhopal,Private,956047,478023,286814,191210
Pallavi Kumari Verma,Female,Married,21-25,Agra,Business,420633,210316,126189,84128
Sunita Kumari Kapoor,Female,Unmarried,51-60,Varanasi,Business,1031074,515537,309322,206215
Aakarsh Chandra Agarwal,Male,Divorced,36-50,Kanpur,Private,754023,377011,226206,150806
Nidhi Bala Mishra,Female,Divorced,21-25,Delhi,Business,1072344,536172,321703,214469
Abhishek Kumar Luthra,Male,Unmarried,21-25,Aligarh,Private,532850,266425,159855,106570
Nikhil Chandra Sharma,Male,Single,21-25,Patna,Government,1046287,523143,313886,209258
Vinod Prasad Goel,Male,Married,36-50,Delhi,Business,720544,360272,216163,144109
Preeti Rani Mittal,Female,Single,21-25,Noida,Public,1183791,591895,355137,236759
Rashmi Kumari Jain,Female,Unmarried,21-25,Jaipur,Public,712582,356291,213774,142517
Kiran Rani Jain,Female,Single,21-25,Ghaziabad,Private,1206473,603236,361941,241296
Aditya Nath Verma,Male,Unmarried,51-60,Ghaziabad,Government,858146,429073,257443,171630
Mohit Kumar Bajaj,Male,Unmarried,26-35,Lucknow,Public,538179,269089,161453,107637
Sanjay Nath Bansal,Male,Married,21-25,Lucknow,Government,493956,246978,148186,98792
Pranav Narayan Mathur,Male,Married,21-25,Agra,Public,904679,452339,271403,180937
Naresh Narayan Khanna,Male,Married,26-35,Jaipur,Business,1262735,631367,378820,252548
Ritesh Chandra Sharma,Male,Single,36-50,Kanpur,Private,1150767,575383,345230,230154
Yash Chandra Bajaj,Male,Divorced,26-35,Dehradun,Public,1272340,636170,381702,254468
Ashish Nath Bhatia,Male,Single,21-25,Chandigarh,Private,402750,201375,120825,80550
Aashi Devi Gupta,Female,Married,51-60,Prayagraj,Business,364352,182176,109305,72871
Ravi Lal Suri,Male,Unmarried,36-50,Varanasi,Business,1381417,690708,414425,276284
Kusum Kumari Srivastava,Female,Single,51-60,Patna,Private,1234695,617347,370408,246940
Ajeet Chandra Saxena,Male,Married,21-25,Lucknow,Public,692217,346108,207665,138444
Rajesh Dev Mahajan,Male,Divorced,51-60,Delhi,Public,734351,367175,220305,146871
Geeta Bala Agarwal,Female,Divorced,36-50,Bhopal,Private,1227250,613625,368175,245450
Aarohi Devi Bansal,Female,Married,21-25,Ranchi,Public,622675,311337,186802,124536
Aastha Devi Verma,Female,Divorced,36-50,Dehradun,Public,1494578,747289,448373,298916
Naresh Narayan Suri,Male,Single,26-35,Noida,Private,1329540,664770,398862,265908
Naveen Lal Chhabra,Male,Single,21-25,Patna,Government,1108341,554170,332502,221669
Sunil Mohan Mehra,Male,Married,51-60,Dehradun,Private,1420092,710046,426027,284019
Pankhuri Devi Bhardwaj,Female,Unmarried,36-50,Jaipur,Private,613305,306652,183991,122662
Vinod Narayan Bansal,Male,Single,36-50,Patna,Public,995082,497541,298524,199017
Aadarsh Dev Tripathi,Male,Unmarried,21-25,Lucknow,Government,1498576,749288,449572,299716
Manish Chandra Negi,Male,Divorced,36-50,Indore,Private,1055226,527613,316567,211046
Ritesh Kumar Goel,Male,Married,26-35,Delhi,Public,1098509,549254,329552,219703
Rajesh Nath Chopra,Male,Married,21-25,Gurgaon,Government,929678,464839,278903,185936
Dinesh Narayan Wadhwa,Male,Unmarried,21-25,Meerut,Private,1384016,692008,415204,276804
Gaurav Lal Thakur,Male,Unmarried,21-25,Patna,Private,1322238,661119,396671,264448
Tanvi Shree Chopra,Female,Unmarried,36-50,Dehradun,Private,993244,496622,297973,198649
Ajeet Lal Goel,Male,Married,51-60,Aligarh,Government,485838,242919,145751,97168
Pooja Shree Goyal,Female,Divorced,36-50,Delhi,Business,1199664,599832,359899,239933
Ankit Chandra Wadhwa,Male,Single,21-25,Kanpur,Government,556233,278116,166869,111248
Preeti Kumari Malhotra,Female,Married,36-50,Prayagraj,Business,687636,343818,206290,137528
Rekha Bala Tandon,Female,Unmarried,26-35,Delhi,Government,522515,261257,156754,104504
Shalini Shree Tripathi,Female,Single,36-50,Meerut,Public,1191898,595949,357569,238380
Manish Nath Goel,Male,Unmarried,51-60,Lucknow,Government,358789,179394,107636,71759
Tanvi Kumari Goyal,Female,Divorced,21-25,Noida,Private,1409557,704778,422867,281912
Kapil Kumar Verma,Male,Single,26-35,Gurgaon,Public,692162,346081,207648,138433
Anjali Kumari Mehra,Female,Single,21-25,Jaipur,Government,453806,226903,136141,90762
Manish Lal Agarwal,Male,Unmarried,36-50,Agra,Government,377695,188847,113308,75540
Aditi Rani Thakur,Female,Single,51-60,Gurgaon,Public,854788,427394,256436,170958
Babita Kumari Pandey,Female,Single,21-25,Bhopal,Private,1220194,843236,287184,89774
Aarav Prasad Bhatia,Male,Single,36-50,Gurgaon,Business,1094024,773601,220773,99650
Priya Devi Yadav,Female,Married,36-50,Delhi,Government,1328655,664327,398596,265732
Hemant Mohan Goyal,Male,Unmarried,51-60,Chandigarh,Private,511567,255783,153470,102314
Sandeep Mohan Tandon,Male,Unmarried,21-25,Delhi,Public,1058202,529101,317460,211641
Harsh Mohan Bhatia,Male,Divorced,21-25,Agra,Private,699108,349554,209732,139822
Sachin Dev Rawat,Male,Single,26-35,Ranchi,Government,1331429,665714,399428,266287
Manish Lal Verma,Male,Single,51-60,Delhi,Government,1221370,610685,366411,244274
Vivek Lal Khanna,Male,Unmarried,26-35,Prayagraj,Public,1335622,667811,400686,267125
Geeta Devi Bhardwaj,Female,Divorced,51-60,Gurgaon,Private,877044,438522,263113,175409
Karan Chandra Pandey,Male,Married,26-35,Noida,Public,1367464,683732,410239,273493
Sunil Nath Mittal,Male,Single,21-25,Kanpur,Business,1229179,614589,368753,245837
Saurabh Nath Yadav,Male,Single,36-50,Indore,Public,1497204,1061220,301592,134392
Mohit Nath Rawat,Male,Single,21-25,Kanpur,Business,1399627,699813,419888,279926
Megha Devi Negi,Female,Unmarried,26-35,Prayagraj,Public,964801,482400,289440,192961
Anurag Prasad Khanna,Male,Unmarried,21-25,Bhopal,Government,740537,370268,222161,148108
Rajesh Lal Chhabra,Male,Divorced,36-50,Ranchi,Business,1156253,578126,346875,231252
Monika Bala Singh,Female,Divorced,21-25,Bhopal,Public,1185527,592763,355658,237106
Sumit Nath Khanna,Male,Single,51-60,Gurgaon,Private,1097650,747717,268052,81881
Pooja Shree Luthra,Female,Unmarried,21-25,Chandigarh,Government,1114783,557391,334434,222958
Swati Bala Khanna,Female,Divorced,36-50,Lucknow,Public,592095,296047,177628,118420
Naresh Kumar Jain,Male,Single,51-60,Delhi,Private,502462,251231,150738,100493
Rekha Devi Bhatia,Female,Married,21-25,Meerut,Business,764449,382224,229334,152891
Swati Devi Mittal,Female,Married,26-35,Gurgaon,Private,678289,339144,203486,135659
Aakarsh Narayan Mittal,Male,Married,36-50,Meerut,Government,637212,318606,191163,127443
Ritu Devi Thakur,Female,Single,21-25,Dehradun,Government,812192,406096,243657,162439
Mahesh Dev Yadav,Male,Single,21-25,Chandigarh,Private,1241470,620735,372441,248294
Naveen Chandra Bajaj,Male,Unmarried,21-25,Indore,Government,448253,224126,134475,89652
Aastha Rani Mehra,Female,Divorced,36-50,Aligarh,Public,1140745,820780,227553,92412
Aastha Kumari Kapoor,Female,Divorced,26-35,Varanasi,Business,959855,479927,287956,191972
Siddharth Kumar Joshi,Male,Married,21-25,Ghaziabad,Government,837949,418974,251384,167591
Aarushi Kumari Chopra,Female,Single,21-25,Jaipur,Public,1033360,516680,310008,206672
Sumit Dev Sharma,Male,Married,26-35,Agra,Public,1232085,616042,369625,246418
Ankit Dev Verma,Male,Married,51-60,Varanasi,Business,606438,419375,130944,56119
Rakesh Dev Wadhwa,Male,Single,26-35,Aligarh,Government,1023084,511542,306925,204617
Sakshi Kumari Khanna,Female,Divorced,36-50,Gurgaon,Private,1291705,645852,387511,258342
Preeti Shree Aggarwal,Female,Married,51-60,Meerut,Government,841174,420587,252352,168235
Nisha Shree Sharma,Female,Married,36-50,Lucknow,Public,1065896,532948,319768,213180
Ajeet Chandra Suri,Male,Divorced,26-35,Varanasi,Public,445660,222830,133698,89132
Arjun Nath Luthra,Male,Unmarried,36-50,Dehradun,Public,389553,194776,116865,77912
Aadarsh Kumar Bhardwaj,Male,Married,51-60,Ranchi,Public,1125551,562775,337665,225111
Simran Devi Seth,Female,Single,36-50,Ghaziabad,Public,646424,323212,193927,129285
Aadarsh Lal Saxena,Male,Single,51-60,Prayagraj,Government,563376,281688,169012,112676
Nikhil Nath Luthra,Male,Divorced,21-25,Indore,Public,1398660,699330,419598,279732
Jyoti Bala Mahajan,Female,Divorced,26-35,Agra,Government,902755,451377,270826,180552
Sunita Bala Chopra,Female,Single,51-60,Chandigarh,Business,804060,402030,241218,160812
Mohit Nath Aggarwal,Male,Single,26-35,Ranchi,Business,828718,414359,248615,165744
Ashish Mohan Bhatia,Male,Married,36-50,Ranchi,Private,502873,251436,150861,100576
Arjun Mohan Pandey,Male,Single,26-35,Kanpur,Business,1153885,576942,346165,230778
Pallavi Rani Mehra,Female,Divorced,51-60,Lucknow,Public,894337,447168,268301,178868
Aashi Kumari Seth,Female,Married,21-25,Ranchi,Public,739937,369968,221981,147988
Namrata Kumari Sharma,Female,Married,26-35,Delhi,Public,1248861,624430,374658,249773
Shreya Devi Agarwal,Female,Unmarried,26-35,Agra,Government,1141144,570572,342343,228229
Namrata Rani Mahajan,Female,Married,26-35,Aligarh,Public,783118,391559,234935,156624
Shubham Dev Saxena,Male,Divorced,26-35,Indore,Private,1348009,674004,404402,269603
Vinod Nath Bajaj,Male,Divorced,51-60,Noida,Public,806944,403472,242083,161389
Rakesh Kumar Aggarwal,Male,Married,51-60,Varanasi,Private,413354,206677,124006,82671
Babita Kumari Goyal,Female,Married,36-50,Varanasi,Business,470658,235329,141197,94132
Vinod Narayan Seth,Male,Married,21-25,Meerut,Private,362638,181319,108791,72528
Ananya Devi Duggal,Female,Unmarried,51-60,Ghaziabad,Business,1344606,672303,403381,268922
Sanjay Dev Goyal,Male,Divorced,36-50,Delhi,Business,1292401,646200,387720,258481
Nisha Devi Mathur,Female,Married,51-60,Ranchi,Government,752342,376171,225702,150469
Kavita Bala Rawat,Female,Divorced,51-60,Chandigarh,Business,1343399,671699,403019,268681
Rajesh Narayan Tripathi,Male,Unmarried,51-60,Ghaziabad,Government,884125,442062,265237,176826
Karan Dev Gupta,Male,Married,26-35,Kanpur,Public,855917,427958,256775,171184
Karan Mohan Kapoor,Male,Divorced,26-35,Ranchi,Private,790523,559274,204878,26371
Sumit Dev Mittal,Male,Single,26-35,Kanpur,Private,728037,364018,218411,145608
Saurabh Mohan Suri,Male,Single,21-25,Ghaziabad,Public,1361132,680566,408339,272227
Aashi Bala Kapoor,Female,Divorced,51-60,Gurgaon,Public,1128026,564013,338407,225606
Pankaj Narayan Pandey,Male,Divorced,26-35,Noida,Business,573573,286786,172071,114716
Kavita Rani Rawat,Female,Married,21-25,Dehradun,Business,680541,340270,204162,136109
Rakesh Mohan Aggarwal,Male,Unmarried,21-25,Indore,Private,1197560,598780,359268,239512
Ashish Chandra Sharma,Male,Divorced,21-25,Prayagraj,Private,567192,283596,170157,113439
Swati Kumari Khanna,Female,Single,26-35,Patna,Government,742545,521236,197667,23642
Karan Narayan Saxena,Male,Married,26-35,Bhopal,Business,550603,275301,165180,110122
Vivek Nath Mehra,Male,Single,21-25,Patna,Government,1389045,694522,416713,277810
Pallavi Rani Chhabra,Female,Divorced,51-60,Delhi,Private,499847,249923,149954,99970
Rajesh Nath Mathur,Male,Divorced,26-35,Ranchi,Government,518579,259289,155573,103717
Aashi Kumari Saxena,Female,Single,21-25,Dehradun,Private,1068134,534067,320440,213627
Aakarsh Prasad Joshi,Male,Unmarried,51-60,Ranchi,Private,787630,393815,236289,157526
Kusum Bala Luthra,Female,Married,51-60,Varanasi,Government,882268,441134,264680,176454
Sachin Lal Goel,Male,Unmarried,36-50,Ranchi,Public,1273941,636970,382182,254789
Ajeet Dev Mahajan,Male,Single,26-35,Noida,Public,856810,428405,257043,171362
Priya Shree Thakur,Female,Married,21-25,Kanpur,Business,1031776,515888,309532,206356
Madhu Rani Pandey,Female,Single,26-35,Varanasi,Private,1031679,730118,204255,97306
Karan Kumar Gupta,Male,Unmarried,51-60,Kanpur,Government,1318920,659460,395676,263784
Mohit Dev Tripathi,Male,Single,51-60,Varanasi,Business,685681,342840,205704,137137
Vinod Prasad Pandey,Male,Married,51-60,Noida,Private,450155,225077,135046,90032
Alok Narayan Luthra,Male,Divorced,51-60,Bhopal,Business,1252712,626356,375813,250543
Kiran Bala Mittal,Female,Divorced,26-35,Aligarh,Business,709966,354983,212989,141994
Varun Kumar Tripathi,Male,Unmarried,51-60,Jaipur,Business,1096371,548185,328911,219275
Kapil Chandra Wadhwa,Male,Divorced,21-25,Meerut,Public,399062,199531,119718,79813
Sakshi Kumari Kapoor,Female,Single,51-60,Agra,Business,981982,490991,294594,196397
Aashi Bala Sharma,Female,Single,26-35,Noida,Government,1215669,607834,364700,243135
Shubham Narayan Suri,Male,Unmarried,21-25,Kanpur,Private,566599,283299,169979,113321
Rohit Lal Srivastava,Male,Married,36-50,Varanasi,Government,513062,256531,153918,102613
Kiran Rani Luthra,Female,Married,21-25,Varanasi,Private,936138,468069,280841,187228
Meenal Shree Khanna,Female,Married,26-35,Varanasi,Private,678995,339497,203698,135800
Kusum Devi Gupta,Female,Single,26-35,Varanasi,Business,713464,356732,214039,142693
Monika Rani Bansal,Female,Single,26-35,Indore,Business,491003,245501,147300,98202
Aditya Lal Negi,Male,Single,21-25,Varanasi,Business,1071530,535765,321459,214306
Aarushi Devi Pandey,Female,Married,21-25,Varanasi,Public,944919,472459,283475,188985
Kusum Bala Sharma,Female,Married,26-35,Prayagraj,Private,1407580,703790,422274,281516
Aakarsh Lal Rawat,Male,Unmarried,36-50,Varanasi,Public,754222,530264,156757,67201
Akhil Narayan Joshi,Male,Divorced,26-35,Delhi,Government,692279,346139,207683,138457
Kapil Mohan Verma,Male,Unmarried,21-25,Lucknow,Business,1077333,538666,323199,215468
Vinod Chandra Suri,Male,Single,26-35,Noida,Public,916698,458349,275009,183340
Pankhuri Devi Mehra,Female,Divorced,36-50,Lucknow,Government,1049064,524532,314719,209813
Kavita Devi Mahajan,Female,Unmarried,26-35,Agra,Public,597263,298631,179178,119454
Sakshi Kumari Bajaj,Female,Single,51-60,Ranchi,Business,765420,382710,229626,153084
Ajay Lal Mittal,Male,Married,26-35,Ghaziabad,Government,1129501,564750,338850,225901
Mohit Nath Agarwal,Male,Unmarried,36-50,Ghaziabad,Private,1155161,577580,346548,231033
Vikas Kumar Verma,Male,Married,21-25,Lucknow,Private,1289810,644905,386943,257962
Payal Rani Bhatia,Female,Divorced,21-25,Varanasi,Government,1179472,589736,353841,235895
Gaurav Prasad Sharma,Male,Married,26-35,Bhopal,Private,1360025,680012,408007,272006
Priya Rani Seth,Female,Married,51-60,Chandigarh,Private,1238253,619126,371475,247652
Manish Nath Jain,Male,Divorced,36-50,Bhopal,Government,1416812,708406,425043,283363
Harsh Kumar Khanna,Male,Single,51-60,Gurgaon,Public,647516,323758,194254,129504
Payal Rani Saxena,Female,Single,21-25,Kanpur,Business,829343,414671,248802,165870
Namrata Kumari Wadhwa,Female,Unmarried,36-50,Noida,Private,1011452,505726,303435,202291
Aditya Dev Gupta,Male,Single,21-25,Indore,Private,698578,349289,209573,139716
Payal Kumari Verma,Female,Married,21-25,Chandigarh,Government,1045971,522985,313791,209195
Harsh Nath Verma,Male,Unmarried,26-35,Gurgaon,Government,918130,459065,275439,183626
Shruti Shree Seth,Female,Unmarried,21-25,Meerut,Public,978123,489061,293436,195626
Rakesh Lal Tripathi,Male,Divorced,26-35,Jaipur,Public,1367358,683679,410207,273472
Sakshi Shree Gupta,Female,Married,36-50,Lucknow,Private,616023,308011,184806,123206
Mohit Kumar Malhotra,Male,Unmarried,36-50,Chandigarh,Government,545924,272962,163777,109185
Kajal Rani Sharma,Female,Single,36-50,Aligarh,Public,728185,364092,218455,145638
Ajay Dev Wadhwa,Male,Single,51-60,Agra,Public,1383137,691568,414941,276628
Vinod Nath Gupta,Male,Unmarried,26-35,Kanpur,Public,765811,382905,229743,153163
Kapil Narayan Aggarwal,Male,Single,36-50,Noida,Private,1093000,546500,327900,218600
Vivek Narayan Mishra,Male,Divorced,36-50,Patna,Business,1063646,531823,319093,212730
Geeta Shree Joshi,Female,Married,36-50,Meerut,Private,470229,331991,106733,31505
Kajal Shree Mehra,Female,Unmarried,36-50,Patna,Public,1485578,1017653,376868,91057
Aarav Nath Mishra,Male,Divorced,26-35,Delhi,Business,633064,316532,189919,126613
Ishita Rani Goel,Female,Divorced,26-35,Kanpur,Business,1184453,592226,355335,236892
Kapil Narayan Tripathi,Male,Unmarried,36-50,Indore,Government,989932,494966,296979,197987
Aastha Devi Wadhwa,Female,Unmarried,26-35,Kanpur,Private,1171643,585821,351492,234330
Aastha Rani Kapoor,Female,Single,21-25,Aligarh,Private,1084764,542382,325429,216953
Aditya Nath Gupta,Male,Divorced,26-35,Dehradun,Public,1089599,544799,326879,217921
Aakarsh Nath Bajaj,Male,Divorced,26-35,Jaipur,Private,710926,355463,213277,142186
Aanchal Bala Mahajan,Female,Single,26-35,Kanpur,Private,376659,188329,112997,75333
Pranav Dev Chhabra,Male,Single,36-50,Kanpur,Government,923627,461813,277088,184726
Kiran Shree Joshi,Female,Divorced,51-60,Kanpur,Public,378195,189097,113458,75640
Namrata Kumari Rawat,Female,Unmarried,51-60,Bhopal,Government,433377,216688,130013,86676
Mukesh Narayan Bhardwaj,Male,Married,21-25,Indore,Public,900033,450016,270009,180008
Saurabh Kumar Wadhwa,Male,Unmarried,21-25,Agra,Business,757278,378639,227183,151456
Payal Rani Goel,Female,Single,26-35,Ghaziabad,Government,432498,216249,129749,86500
